id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,ranking
148,NO3,p3sessiondata,P2,1803463296,8,8,8,2,3
149,NO3,p3sessiondata,P2,1078251497,8,8,8,2,3
150,NO3,p3sessiondata,P2,4672965260,14,14,14,2,2
151,NO3,p3sessiondata,P2,5307697513,7,14,14,2,2
152,NO3,p3sessiondata,P2,2591280041,26,26,26,2,1
153,NO3,p3sessiondata,P2,8991207068,22,22,22,2,1
154,NO3,p3sessiondata,P2,5023460939,5,25,16,2,1
155,NO3,p3sessiondata,P2,8591978710,14,14,15,2,1
156,NO3,p3sessiondata,P2,2926763865,13,13,13,2,1
157,NO3,p3sessiondata,P2,4907012256,12,12,12,2,1
158,NO3,p3sessiondata,P2,3712255408,5,5,5,2,1
159,NO3,p3sessiondata,P2,3844021493,4,4,4,2,1
160,NO3,p3sessiondata,P2,4465118253,3,3,3,2,1
