id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate
64,ENDO3,nw90u3xthzi22618,P2,7926684061,8,8,30,2
65,ENDO3,lqjt6u8ghzi22618,P2,7986264493,9,9,9,2
66,ENDO3,k8bxwamfhzi22618,P2,8172616790,6,6,6,2
67,ENDO3,tmfpl35hhzi22618,P2,8186459480,7,30,30,2
68,ENDO3,z1tv9b17hzi22618,P2,8389108555,25,25,25,2
69,ENDO3,z9ptnj0xhzi22618,P2,8712101346,12,12,12,2
70,ENDO3,yma4ddcihzi22618,P2,8835567302,12,12,30,2
71,ENDO3,16fj2c2uhzi22618,P2,8926351742,8,8,8,2
72,ENDO3,h92mbb4thzi22618,P2,8977796042,10,10,10,2
73,ENDO3,10tb9blohzi22618,P2,8981349743,9,9,9,2
74,ENDO3,dvxb8qw4hzi22618,P2,9314730668,6,6,6,2
75,ENDO3,vmjfu8fdva3cjgqi,P2,6072885005,7,7,7,1
76,ENDO3,pe0x5c63va3cjgqi,P2,8550708476,8,7,7,1
77,ENDO3,r3wug9cwva3cjgqi,P2,9000579811,10,10,10,1
78,ENDO3,mx5lehd2va3cjgqi,P2,9363333871,9,9,9,1
79,ENDO3,cjuw6m4kva3cjgqi,P2,7785785475,8,7,7,1
80,ENDO3,8mahvbcu591dxpfu,P2,7750223582,14,14,30,1
